Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,162.393997,162.393997,162.393997,162.393997,162.393997,0
2018-01-03,165.434006,165.434006,165.434006,165.434006,165.434006,0
2018-01-04,168.358994,168.358994,168.358994,168.358994,168.358994,0
2018-01-05,167.220001,167.220001,167.220001,167.220001,167.220001,0
2018-01-08,167.673996,167.673996,167.673996,167.673996,167.673996,0
2018-01-09,168.703995,168.703995,168.703995,168.703995,168.703995,0
2018-01-10,169.753006,169.753006,169.753006,169.753006,169.753006,0
2018-01-11,169.884995,169.884995,169.884995,169.884995,169.884995,0
2018-01-12,170.673996,170.673996,170.673996,170.673996,170.673996,0
2018-01-15,171.608994,171.608994,171.608994,171.608994,171.608994,0
2018-01-16,171.570999,171.570999,171.570999,171.570999,171.570999,0
2018-01-17,173.063004,173.063004,173.063004,173.063004,173.063004,0
2018-01-18,172.623993,172.623993,172.623993,172.623993,172.623993,0
2018-01-19,175.371994,175.371994,175.371994,175.371994,175.371994,0
2018-01-22,176.276001,176.276001,176.276001,176.276001,176.276001,0
2018-01-23,175.809006,175.809006,175.809006,175.809006,175.809006,0
2018-01-24,175.709000,175.709000,175.709000,175.709000,175.709000,0
2018-01-25,175.815002,175.815002,175.815002,175.815002,175.815002,0
2018-01-26,175.470993,175.470993,175.470993,175.470993,175.470993,0
2018-01-29,174.990997,174.990997,174.990997,174.990997,174.990997,0
2018-01-30,174.195999,174.195999,174.195999,174.195999,174.195999,0
2018-01-31,173.828995,173.828995,173.828995,173.828995,173.828995,0
2018-02-01,174.628006,174.628006,174.628006,174.628006,174.628006,0
2018-02-02,173.602005,173.602005,173.602005,173.602005,173.602005,0
2018-02-05,171.852997,171.852997,171.852997,171.852997,171.852997,0
2018-02-06,168.356003,168.356003,168.356003,168.356003,168.356003,0
2018-02-07,169.671005,169.671005,169.671005,169.671005,169.671005,0
2018-02-08,168.067001,168.067001,168.067001,168.067001,168.067001,0
2018-02-09,162.718994,162.718994,162.718994,162.718994,162.718994,0
2018-02-12,163.643997,163.643997,163.643997,163.643997,163.643997,0
2018-02-13,163.585999,163.585999,163.585999,163.585999,163.585999,0
2018-02-14,164.248993,164.248993,164.248993,164.248993,164.248993,0
2018-02-15,167.425003,167.425003,167.425003,167.425003,167.425003,0
2018-02-16,167.020996,167.020996,167.020996,167.020996,167.020996,0
2018-02-19,167.466003,167.466003,167.466003,167.466003,167.466003,0
2018-02-20,166.199005,166.199005,166.199005,166.199005,166.199005,0
2018-02-21,169.423996,169.423996,169.423996,169.423996,169.423996,0
2018-02-22,169.199005,169.199005,169.199005,169.199005,169.199005,0
2018-02-23,170.460999,170.460999,170.460999,170.460999,170.460999,0
2018-02-26,170.983002,170.983002,170.983002,170.983002,170.983002,0
2018-02-27,171.384995,171.384995,171.384995,171.384995,171.384995,0
2018-02-28,171.244995,171.244995,171.244995,171.244995,171.244995,0
2018-03-01,169.388000,169.388000,169.388000,169.388000,169.388000,0
2018-03-02,166.541000,166.541000,166.541000,166.541000,166.541000,0
2018-03-05,168.541000,168.541000,168.541000,168.541000,168.541000,0
2018-03-06,169.966003,169.966003,169.966003,169.966003,169.966003,0
2018-03-07,169.539001,169.539001,169.539001,169.539001,169.539001,0
2018-03-08,170.621994,170.621994,170.621994,170.621994,170.621994,0
2018-03-09,172.285004,172.285004,172.285004,172.285004,172.285004,0
2018-03-12,174.345993,174.345993,174.345993,174.345993,174.345993,0
2018-03-13,175.932999,175.932999,175.932999,175.932999,175.932999,0
2018-03-14,176.279007,176.279007,176.279007,176.279007,176.279007,0
2018-03-15,176.608994,176.608994,176.608994,176.608994,176.608994,0
2018-03-16,176.126007,176.126007,176.126007,176.126007,176.126007,0
2018-03-19,176.781998,176.781998,176.781998,176.781998,176.781998,0
2018-03-20,175.266998,175.266998,175.266998,175.266998,175.266998,0
2018-03-21,174.615997,174.615997,174.615997,174.615997,174.615997,0
2018-03-22,172.181000,172.181000,172.181000,172.181000,172.181000,0
2018-03-23,169.794006,169.794006,169.794006,169.794006,169.794006,0
2018-03-26,170.432999,170.432999,170.432999,170.432999,170.432999,0
2018-03-27,171.014008,171.014008,171.014008,171.014008,171.014008,0
2018-03-28,167.843002,167.843002,167.843002,167.843002,167.843002,0
2018-03-29,168.382996,168.382996,168.382996,168.382996,168.382996,0
2018-04-03,167.416000,167.416000,167.416000,167.416000,167.416000,0
2018-04-04,166.848007,166.848007,166.848007,166.848007,166.848007,0
2018-04-05,169.914001,169.914001,169.914001,169.914001,169.914001,0
2018-04-06,169.535004,169.535004,169.535004,169.535004,169.535004,0
2018-04-09,165.843002,165.843002,165.843002,165.843002,165.843002,0
2018-04-10,164.766998,164.766998,164.766998,164.766998,164.766998,0
2018-04-11,165.800003,165.800003,165.800003,165.800003,165.800003,0
2018-04-12,166.031998,166.031998,166.031998,166.031998,166.031998,0
2018-04-13,166.949005,166.949005,166.949005,166.949005,166.949005,0
2018-04-16,167.341003,167.341003,167.341003,167.341003,167.341003,0
2018-04-17,167.024994,167.024994,167.024994,167.024994,167.024994,0
2018-04-18,169.147995,169.147995,169.147995,169.147995,169.147995,0
2018-04-19,169.005997,169.005997,169.005997,169.005997,169.005997,0
2018-04-20,166.880997,166.880997,166.880997,166.880997,166.880997,0
2018-04-23,167.095001,167.095001,167.095001,167.095001,167.095001,0
2018-04-24,166.832993,166.832993,166.832993,166.832993,166.832993,0
2018-04-25,165.322998,165.322998,165.322998,165.322998,165.322998,0
2018-04-26,165.087997,165.087997,165.087997,165.087997,165.087997,0
2018-04-27,164.891006,164.891006,164.891006,164.891006,164.891006,0
2018-04-30,164.322998,164.322998,164.322998,164.322998,164.322998,0
2018-05-01,163.501007,163.501007,163.501007,163.501007,163.501007,0
2018-05-02,164.373001,164.373001,164.373001,164.373001,164.373001,0
2018-05-03,162.408997,162.408997,162.408997,162.408997,162.408997,0
2018-05-04,161.748993,161.748993,161.748993,161.748993,161.748993,0
2018-05-08,161.785995,161.785995,161.785995,161.785995,161.785995,0
2018-05-09,162.848007,162.848007,162.848007,162.848007,162.848007,0
2018-05-10,162.783997,162.783997,162.783997,162.783997,162.783997,0
2018-05-11,164.203003,164.203003,164.203003,164.203003,164.203003,0
2018-05-14,164.401001,164.401001,164.401001,164.401001,164.401001,0
2018-05-15,164.886002,164.886002,164.886002,164.886002,164.886002,0
2018-05-16,164.466995,164.466995,164.466995,164.466995,164.466995,0
2018-05-17,163.429001,163.429001,163.429001,163.429001,163.429001,0
2018-05-18,163.613007,163.613007,163.613007,163.613007,163.613007,0
2018-05-21,163.296997,163.296997,163.296997,163.296997,163.296997,0
2018-05-22,163.412003,163.412003,163.412003,163.412003,163.412003,0
2018-05-23,160.643997,160.643997,160.643997,160.643997,160.643997,0
2018-05-24,160.016006,160.016006,160.016006,160.016006,160.016006,0
2018-05-25,158.199005,158.199005,158.199005,158.199005,158.199005,0
2018-05-29,156.445999,156.445999,156.445999,156.445999,156.445999,0
2018-05-30,157.251999,157.251999,157.251999,157.251999,157.251999,0
2018-05-31,157.904999,157.904999,157.904999,157.904999,157.904999,0
2018-06-01,158.154999,158.154999,158.154999,158.154999,158.154999,0
2018-06-04,158.078003,158.078003,158.078003,158.078003,158.078003,0
2018-06-05,158.490005,158.490005,158.490005,158.490005,158.490005,0
2018-06-06,158.276993,158.276993,158.276993,158.276993,158.276993,0
2018-06-07,158.783005,158.783005,158.783005,158.783005,158.783005,0
2018-06-08,157.916000,157.916000,157.916000,157.916000,157.916000,0
2018-06-11,158.035995,158.035995,158.035995,158.035995,158.035995,0
2018-06-12,157.537003,157.537003,157.537003,157.537003,157.537003,0
2018-06-13,157.669998,157.669998,157.669998,157.669998,157.669998,0
2018-06-14,156.869003,156.869003,156.869003,156.869003,156.869003,0
2018-06-15,156.042007,156.042007,156.042007,156.042007,156.042007,0
2018-06-18,154.634995,154.634995,154.634995,154.634995,154.634995,0
2018-06-19,154.042007,154.042007,154.042007,154.042007,154.042007,0
2018-06-20,154.229996,154.229996,154.229996,154.229996,154.229996,0
2018-06-21,153.983994,153.983994,153.983994,153.983994,153.983994,0
2018-06-22,155.237000,155.237000,155.237000,155.237000,155.237000,0
2018-06-25,155.580002,155.580002,155.580002,155.580002,155.580002,0
2018-06-26,155.106003,155.106003,155.106003,155.106003,155.106003,0
2018-06-27,154.979996,154.979996,154.979996,154.979996,154.979996,0
2018-06-28,155.272003,155.272003,155.272003,155.272003,155.272003,0
2018-06-29,156.979004,156.979004,156.979004,156.979004,156.979004,0
2018-07-02,156.410004,156.410004,156.410004,156.410004,156.410004,0
2018-07-03,157.035004,157.035004,157.035004,157.035004,157.035004,0
2018-07-04,157.115997,157.115997,157.115997,157.115997,157.115997,0
2018-07-05,157.559998,157.559998,157.559998,157.559998,157.559998,0
2018-07-06,157.050003,157.050003,157.050003,157.050003,157.050003,0
2018-07-09,159.007004,159.007004,159.007004,159.007004,159.007004,0
2018-07-10,159.944000,159.944000,159.944000,159.944000,159.944000,0
2018-07-11,159.639999,159.639999,159.639999,159.639999,159.639999,0
2018-07-12,160.181000,160.181000,160.181000,160.181000,160.181000,0
2018-07-13,160.005005,160.005005,160.005005,160.005005,160.005005,0
2018-07-16,160.251007,160.251007,160.251007,160.251007,160.251007,0
2018-07-17,159.809998,159.809998,159.809998,159.809998,159.809998,0
2018-07-18,160.279999,160.279999,160.279999,160.279999,160.279999,0
2018-07-19,158.574997,158.574997,158.574997,158.574997,158.574997,0
2018-07-20,158.160004,158.160004,158.160004,158.160004,158.160004,0
2018-07-23,158.585007,158.585007,158.585007,158.585007,158.585007,0
2018-07-24,157.630005,157.630005,157.630005,157.630005,157.630005,0
2018-07-25,160.664001,160.664001,160.664001,160.664001,160.664001,0
2018-07-26,162.619003,162.619003,162.619003,162.619003,162.619003,0
2018-07-27,161.832993,161.832993,161.832993,161.832993,161.832993,0
2018-07-30,161.360001,161.360001,161.360001,161.360001,161.360001,0
2018-07-31,159.412003,159.412003,159.412003,159.412003,159.412003,0
2018-08-01,160.432999,160.432999,160.432999,160.432999,160.432999,0
2018-08-02,160.535004,160.535004,160.535004,160.535004,160.535004,0
2018-08-03,161.139008,161.139008,161.139008,161.139008,161.139008,0
2018-08-06,161.942993,161.942993,161.942993,161.942993,161.942993,0
2018-08-07,162.268997,162.268997,162.268997,162.268997,162.268997,0
2018-08-08,161.962997,161.962997,161.962997,161.962997,161.962997,0
2018-08-09,160.623993,160.623993,160.623993,160.623993,160.623993,0
2018-08-10,160.699997,160.699997,160.699997,160.699997,160.699997,0
2018-08-13,160.537003,160.537003,160.537003,160.537003,160.537003,0
2018-08-14,160.677002,160.677002,160.677002,160.677002,160.677002,0
2018-08-15,160.947006,160.947006,160.947006,160.947006,160.947006,0
2018-08-16,159.156998,159.156998,159.156998,159.156998,159.156998,0
2018-08-17,159.483002,159.483002,159.483002,159.483002,159.483002,0
2018-08-20,159.507004,159.507004,159.507004,159.507004,159.507004,0
2018-08-21,159.772003,159.772003,159.772003,159.772003,159.772003,0
2018-08-22,159.990005,159.990005,159.990005,159.990005,159.990005,0
2018-08-23,161.048996,161.048996,161.048996,161.048996,161.048996,0
2018-08-24,161.235992,161.235992,161.235992,161.235992,161.235992,0
2018-08-28,162.531998,162.531998,162.531998,162.531998,162.531998,0
2018-08-29,162.705002,162.705002,162.705002,162.705002,162.705002,0
2018-08-30,163.632996,163.632996,163.632996,163.632996,163.632996,0
2018-08-31,162.707001,162.707001,162.707001,162.707001,162.707001,0
2018-09-03,163.410004,163.410004,163.410004,163.410004,163.410004,0
2018-09-04,162.548004,162.548004,162.548004,162.548004,162.548004,0
2018-09-05,162.725006,162.725006,162.725006,162.725006,162.725006,0
2018-09-06,162.509003,162.509003,162.509003,162.509003,162.509003,0
2018-09-07,163.009003,163.009003,163.009003,163.009003,163.009003,0
2018-09-10,162.539001,162.539001,162.539001,162.539001,162.539001,0
2018-09-11,162.994995,162.994995,162.994995,162.994995,162.994995,0
2018-09-12,164.356003,164.356003,164.356003,164.356003,164.356003,0
2018-09-13,163.994003,163.994003,163.994003,163.994003,163.994003,0
2018-09-14,160.682999,160.682999,160.682999,160.682999,160.682999,0
2018-09-17,160.436996,160.436996,160.436996,160.436996,160.436996,0
2018-09-18,160.250000,160.250000,160.250000,160.250000,160.250000,0
2018-09-19,161.214996,161.214996,161.214996,161.214996,161.214996,0
2018-09-20,160.826996,160.826996,160.826996,160.826996,160.826996,0
2018-09-21,161.005005,161.005005,161.005005,161.005005,161.005005,0
2018-09-24,161.345001,161.345001,161.345001,161.345001,161.345001,0
2018-09-25,162.287003,162.287003,162.287003,162.287003,162.287003,0
2018-09-26,162.580002,162.580002,162.580002,162.580002,162.580002,0
2018-09-27,162.675995,162.675995,162.675995,162.675995,162.675995,0
2018-09-28,161.561996,161.561996,161.561996,161.561996,161.561996,0
2018-10-01,161.869003,161.869003,161.869003,161.869003,161.869003,0
2018-10-02,161.763000,161.763000,161.763000,161.763000,161.763000,0
2018-10-03,162.024002,162.024002,162.024002,162.024002,162.024002,0
2018-10-04,161.373993,161.373993,161.373993,161.373993,161.373993,0
2018-10-05,160.516006,160.516006,160.516006,160.516006,160.516006,0
