datetime,severity,event_type,message,details
2026-04-24T00:35:15.121960,INFO,CYCLE_START,Starting trading cycle,"strategy=simple_reversal, symbol=ETH/GBP, interval=15m"
2026-04-24T00:35:15.140744,INFO,CONFIG,Trading parameters,"position_size_pct=0.5, stop_pct=0.01, take_profit_pct=0.1"
2026-04-24T00:35:19.184046,INFO,BROKER_SYNC,Balance fetched,"free={'BABY': 0.83855, 'EUR.HOLD': 0.0, 'BTC': 0.00150673, 'GBP': 7.6}, total={'BABY': 0.83855, 'EUR.HOLD': 0.0, 'BTC': 0.00150673, 'GBP': 7.6}"
2026-04-24T00:35:19.198636,INFO,BROKER_SYNC,GBP balance,available=7.6
2026-04-24T00:35:26.046943,ERROR,CYCLE_FAILED,Trading cycle exception,error=No module named 'live_trader'
2026-04-24T00:40:53.060668,INFO,CYCLE_START,Starting trading cycle,"strategy=simple_reversal, symbol=ETH/GBP, interval=15m"
2026-04-24T00:40:53.083829,INFO,CONFIG,Trading parameters,"position_size_pct=0.5, stop_pct=0.01, take_profit_pct=0.1"
2026-04-24T00:40:57.139056,INFO,BROKER_SYNC,Balance fetched,"free={'BABY': 0.83855, 'EUR.HOLD': 0.0, 'BTC': 0.00150673, 'GBP': 7.6}, total={'BABY': 0.83855, 'EUR.HOLD': 0.0, 'BTC': 0.00150673, 'GBP': 7.6}"
2026-04-24T00:40:57.154376,INFO,BROKER_SYNC,GBP balance,available=7.6
2026-04-26T10:24:04.195471,INFO,CONFIG,Settings updated,"{'strategy': 'simple_reversal_strategy', 'symbol': 'BTC/GBP', 'interval': '1h', 'position_size_pct': 0.1, 'stop_pct': 0.01, 'take_profit_pct': 0.05}"
2026-04-26T10:25:01.890376,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T10:25:02.306636,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T10:25:02.345732,ERROR,CYCLE_FAILED,Trading cycle exception,error='cash'
2026-04-26T10:26:01.415531,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T10:26:01.435211,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T10:26:01.462125,ERROR,CYCLE_FAILED,Trading cycle exception,error='cash'
